PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 80°C Desorption, 4.5.2026, 16:19
Diameter[mm] 1.128e+00  Thickness[mm] 1.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  AC Volt  [Vrms]=1.000
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 1.2975e+04	 4.9580e+02	 4.6949e+00	 5.7829e-01	 3.5314e+02	 5.4273e+02
 1.9462e+04	 4.9580e+02	 4.4967e+00	 4.2441e-01	 3.5314e+02	 5.4531e+02
 2.9193e+04	 4.9580e+02	 4.3801e+00	 4.7418e-01	 3.5314e+02	 5.4801e+02
 4.3789e+04	 4.9580e+02	 4.2406e+00	 5.1063e-01	 3.5314e+02	 5.5058e+02
 6.5684e+04	 4.9580e+02	 4.0893e+00	 5.3422e-01	 3.5314e+02	 5.5341e+02
 9.8526e+04	 4.9580e+02	 3.9335e+00	 5.3752e-01	 3.5314e+02	 5.5587e+02
 1.4779e+05	 4.9580e+02	 3.7801e+00	 5.1848e-01	 3.5314e+02	 5.5870e+02
 2.2168e+05	 4.9580e+02	 3.6098e+00	 5.0554e-01	 3.5313e+02	 5.6131e+02
 3.3253e+05	 4.9580e+02	 3.4813e+00	 4.5868e-01	 3.5314e+02	 5.6398e+02
 4.9879e+05	 4.9580e+02	 3.3714e+00	 4.0913e-01	 3.5314e+02	 5.6662e+02
 7.4818e+05	 4.9580e+02	 3.3361e+00	 3.0071e-01	 3.5314e+02	 5.7425e+02
 9.0000e+05	 4.9580e+02	 3.3065e+00	 2.8008e-01	 3.5313e+02	 5.8219e+02
 1.0000e+02	 5.7940e+02	 6.2896e+00	 4.5828e-01	 3.5314e+02	 5.8991e+02
 1.5000e+02	 5.7940e+02	 6.1825e+00	 4.5236e-01	 3.5315e+02	 5.9278e+02
 2.2500e+02	 5.7940e+02	 6.0764e+00	 4.5069e-01	 3.5316e+02	 5.9531e+02
 3.3750e+02	 5.7940e+02	 5.9700e+00	 4.5387e-01	 3.5315e+02	 5.9798e+02
 5.0625e+02	 5.7940e+02	 5.8612e+00	 4.6075e-01	 3.5315e+02	 6.0044e+02
 7.5938e+02	 5.7940e+02	 5.7494e+00	 4.7104e-01	 3.5315e+02	 6.0300e+02
 1.1391e+03	 5.7940e+02	 5.6340e+00	 4.8390e-01	 3.5314e+02	 6.0562e+02
 1.7086e+03	 5.7940e+02	 5.5151e+00	 4.9849e-01	 3.5315e+02	 6.0819e+02
 2.5629e+03	 5.7940e+02	 5.3919e+00	 5.1564e-01	 3.5314e+02	 6.1094e+02
 3.8443e+03	 5.7940e+02	 5.2631e+00	 5.3435e-01	 3.5315e+02	 6.1337e+02
 5.7665e+03	 5.7940e+02	 5.1286e+00	 5.5520e-01	 3.5314e+02	 6.1614e+02
 8.6498e+03	 5.7940e+02	 4.9876e+00	 5.7748e-01	 3.5315e+02	 6.1869e+02
 1.2975e+04	 5.7940e+02	 4.8384e+00	 5.9985e-01	 3.5315e+02	 6.2112e+02
 1.9462e+04	 5.7940e+02	 4.6791e+00	 6.1957e-01	 3.5314e+02	 6.2369e+02
 2.9193e+04	 5.7940e+02	 4.4929e+00	 4.9049e-01	 3.5314e+02	 6.2612e+02
 4.3789e+04	 5.7940e+02	 4.3570e+00	 5.5731e-01	 3.5314e+02	 6.2873e+02
 6.5684e+04	 5.7940e+02	 4.1887e+00	 5.7986e-01	 3.5314e+02	 6.3119e+02
 9.8526e+04	 5.7940e+02	 4.0170e+00	 5.8121e-01	 3.5314e+02	 6.3362e+02
 1.4779e+05	 5.7940e+02	 3.8505e+00	 5.6292e-01	 3.5314e+02	 6.3637e+02
