PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Desorption, 12.5.2026, 15:30
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 9.8526e+04	 1.5170e+02	 1.4861e+00	 2.3445e-02	 3.2316e+02	 2.1500e+02
 1.4779e+05	 1.5170e+02	 1.4808e+00	 2.0745e-02	 3.2316e+02	 2.1750e+02
 2.2168e+05	 1.5170e+02	 1.4765e+00	 1.8541e-02	 3.2316e+02	 2.2012e+02
 3.3253e+05	 1.5170e+02	 1.4726e+00	 1.6905e-02	 3.2317e+02	 2.2256e+02
 4.9879e+05	 1.5170e+02	 1.4681e+00	 1.6392e-02	 3.2316e+02	 2.2500e+02
 7.4818e+05	 1.5170e+02	 1.4643e+00	 1.5859e-02	 3.2315e+02	 2.2762e+02
 9.0000e+05	 1.5170e+02	 1.4631e+00	 1.5532e-02	 3.2315e+02	 2.3018e+02
 1.0000e+02	 2.2740e+02	 1.6135e+00	 1.8569e-02	 3.2314e+02	 2.3962e+02
 1.5000e+02	 2.2740e+02	 1.6087e+00	 2.0228e-02	 3.2313e+02	 2.4195e+02
 2.2500e+02	 2.2740e+02	 1.6030e+00	 2.2632e-02	 3.2314e+02	 2.4706e+02
 3.3750e+02	 2.2740e+02	 1.5968e+00	 2.4764e-02	 3.2315e+02	 2.4950e+02
 5.0625e+02	 2.2740e+02	 1.5899e+00	 2.6998e-02	 3.2315e+02	 2.5226e+02
 7.5938e+02	 2.2740e+02	 1.5823e+00	 2.8749e-02	 3.2315e+02	 2.5475e+02
 1.1391e+03	 2.2740e+02	 1.5743e+00	 3.0155e-02	 3.2316e+02	 2.6006e+02
 1.7086e+03	 2.2740e+02	 1.5664e+00	 3.1195e-02	 3.2316e+02	 2.6281e+02
 2.5629e+03	 2.2740e+02	 1.5580e+00	 3.1944e-02	 3.2317e+02	 2.6784e+02
 3.8443e+03	 2.2740e+02	 1.5498e+00	 3.2808e-02	 3.2318e+02	 2.7050e+02
 5.7665e+03	 2.2740e+02	 1.5468e+00	 3.1869e-02	 3.2318e+02	 2.7293e+02
 8.6498e+03	 2.2740e+02	 1.5380e+00	 3.3040e-02	 3.2318e+02	 2.7556e+02
 1.2975e+04	 2.2740e+02	 1.5284e+00	 3.3860e-02	 3.2319e+02	 2.7800e+02
 1.9462e+04	 2.2740e+02	 1.5186e+00	 3.3820e-02	 3.2318e+02	 2.8081e+02
 2.9193e+04	 2.2740e+02	 1.5086e+00	 3.2449e-02	 3.2319e+02	 2.8331e+02
 4.3789e+04	 2.2740e+02	 1.4996e+00	 2.9812e-02	 3.2319e+02	 2.8575e+02
 6.5684e+04	 2.2740e+02	 1.4919e+00	 2.6530e-02	 3.2319e+02	 2.8825e+02
 9.8526e+04	 2.2740e+02	 1.4855e+00	 2.3420e-02	 3.2319e+02	 2.9075e+02
 1.4779e+05	 2.2740e+02	 1.4801e+00	 2.0747e-02	 3.2319e+02	 2.9343e+02
 2.2168e+05	 2.2740e+02	 1.4758e+00	 1.8538e-02	 3.2319e+02	 2.9606e+02
 3.3253e+05	 2.2740e+02	 1.4719e+00	 1.6875e-02	 3.2319e+02	 2.9889e+02
 4.9879e+05	 2.2740e+02	 1.4674e+00	 1.6373e-02	 3.2319e+02	 3.0143e+02
 7.4818e+05	 2.2740e+02	 1.4636e+00	 1.5832e-02	 3.2319e+02	 3.0403e+02
 9.0000e+05	 2.2740e+02	 1.4625e+00	 1.5509e-02	 3.2319e+02	 3.0662e+02
 1.0000e+02	 3.0390e+02	 1.6129e+00	 1.7916e-02	 3.2319e+02	 3.1601e+02
 1.5000e+02	 3.0390e+02	 1.6080e+00	 2.0182e-02	 3.2318e+02	 3.1839e+02
 2.2500e+02	 3.0390e+02	 1.6022e+00	 2.2589e-02	 3.2318e+02	 3.2356e+02
 3.3750e+02	 3.0390e+02	 1.5960e+00	 2.4847e-02	 3.2318e+02	 3.2600e+02
 5.0625e+02	 3.0390e+02	 1.5891e+00	 2.6913e-02	 3.2317e+02	 3.2856e+02
 7.5938e+02	 3.0390e+02	 1.5814e+00	 2.8769e-02	 3.2316e+02	 3.3106e+02
 1.1391e+03	 3.0390e+02	 1.5734e+00	 3.0140e-02	 3.2316e+02	 3.3618e+02
 1.7086e+03	 3.0390e+02	 1.5654e+00	 3.1203e-02	 3.2316e+02	 3.3868e+02
 2.5629e+03	 3.0390e+02	 1.5569e+00	 3.1982e-02	 3.2315e+02	 3.4381e+02
 3.8443e+03	 3.0390e+02	 1.5487e+00	 3.2822e-02	 3.2314e+02	 3.4661e+02
 5.7665e+03	 3.0390e+02	 1.5457e+00	 3.1960e-02	 3.2315e+02	 3.4912e+02
 8.6498e+03	 3.0390e+02	 1.5369e+00	 3.3101e-02	 3.2315e+02	 3.5190e+02
