PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, 50°C Absorption, 12.5.2026, 11:52
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 4.3789e+04	 4.8700e+02	 1.5534e+00	 5.2695e-02	 3.2314e+02	 5.5019e+02
 6.5684e+04	 4.8700e+02	 1.5486e+00	 4.8110e-02	 3.2313e+02	 5.5263e+02
 9.8526e+04	 4.8700e+02	 1.5348e+00	 4.2940e-02	 3.2314e+02	 5.5538e+02
 1.4779e+05	 4.8700e+02	 1.5241e+00	 3.7014e-02	 3.2314e+02	 5.5782e+02
 2.2168e+05	 4.8700e+02	 1.5161e+00	 3.1727e-02	 3.2314e+02	 5.6057e+02
 3.3253e+05	 4.8700e+02	 1.5097e+00	 2.7644e-02	 3.2314e+02	 5.6300e+02
 4.9879e+05	 4.8700e+02	 1.5032e+00	 2.5365e-02	 3.2314e+02	 5.6550e+02
 7.4818e+05	 4.8700e+02	 1.4979e+00	 2.3666e-02	 3.2314e+02	 5.6807e+02
 9.0000e+05	 4.8700e+02	 1.4962e+00	 2.2991e-02	 3.2314e+02	 5.7069e+02
 1.0000e+02	 5.6800e+02	 1.6758e+00	 1.3900e-02	 3.2315e+02	 5.8000e+02
 1.5000e+02	 5.6800e+02	 1.6729e+00	 1.5338e-02	 3.2315e+02	 5.8246e+02
 2.2500e+02	 5.6800e+02	 1.6686e+00	 1.6500e-02	 3.2314e+02	 5.8758e+02
 3.3750e+02	 5.6800e+02	 1.6645e+00	 1.8411e-02	 3.2315e+02	 5.9010e+02
 5.0625e+02	 5.6800e+02	 1.6597e+00	 2.0647e-02	 3.2314e+02	 5.9277e+02
 7.5938e+02	 5.6800e+02	 1.6542e+00	 2.3164e-02	 3.2315e+02	 5.9532e+02
 1.1391e+03	 5.6800e+02	 1.6479e+00	 2.5985e-02	 3.2315e+02	 6.0057e+02
 1.7086e+03	 5.6800e+02	 1.6410e+00	 2.9076e-02	 3.2315e+02	 6.0338e+02
 2.5629e+03	 5.6800e+02	 1.6327e+00	 3.2199e-02	 3.2315e+02	 6.0863e+02
 3.8443e+03	 5.6800e+02	 1.6238e+00	 3.5289e-02	 3.2315e+02	 6.1107e+02
 5.7665e+03	 5.6800e+02	 1.6142e+00	 3.8389e-02	 3.2315e+02	 6.1360e+02
 8.6498e+03	 5.6800e+02	 1.6042e+00	 4.1518e-02	 3.2314e+02	 6.1625e+02
 1.2975e+04	 5.6800e+02	 1.5923e+00	 4.4812e-02	 3.2315e+02	 6.2152e+02
 1.9462e+04	 5.6800e+02	 1.5796e+00	 4.8260e-02	 3.2315e+02	 6.2400e+02
 2.9193e+04	 5.6800e+02	 1.5648e+00	 5.0740e-02	 3.2315e+02	 6.2660e+02
 4.3789e+04	 5.6800e+02	 1.5482e+00	 5.0799e-02	 3.2315e+02	 6.3191e+02
 6.5684e+04	 5.6800e+02	 1.5441e+00	 4.6009e-02	 3.2315e+02	 6.3444e+02
 9.8526e+04	 5.6800e+02	 1.5312e+00	 4.0951e-02	 3.2315e+02	 6.3713e+02
 1.4779e+05	 5.6800e+02	 1.5210e+00	 3.5361e-02	 3.2315e+02	 6.3957e+02
 2.2168e+05	 5.6800e+02	 1.5135e+00	 3.0417e-02	 3.2315e+02	 6.4213e+02
 3.3253e+05	 5.6800e+02	 1.5074e+00	 2.6565e-02	 3.2313e+02	 6.4463e+02
 4.9879e+05	 5.6800e+02	 1.5010e+00	 2.4698e-02	 3.2314e+02	 6.4707e+02
 7.4818e+05	 5.6800e+02	 1.4958e+00	 2.2983e-02	 3.2314e+02	 6.4985e+02
 9.0000e+05	 5.6800e+02	 1.4942e+00	 2.2400e-02	 3.2314e+02	 6.5244e+02
 1.0000e+02	 6.4980e+02	 1.6703e+00	 1.4322e-02	 3.2315e+02	 6.6177e+02
 1.5000e+02	 6.4980e+02	 1.6677e+00	 1.5030e-02	 3.2315e+02	 6.6414e+02
 2.2500e+02	 6.4980e+02	 1.6631e+00	 1.6287e-02	 3.2315e+02	 6.6939e+02
 3.3750e+02	 6.4980e+02	 1.6592e+00	 1.8165e-02	 3.2314e+02	 6.7214e+02
