PEI 25 kg/mol, 2 mg/ml from Ethanol on B 10 x 15 mm + H 1x1 mm, 70 nm, 30 µm, Absorption, 7.5.2026, 13:39
Diameter[mm] 1.128e+00  Thickness[mm] 2.000e-04  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	M Temp [K]	M Time M[s]
 2.2500e+02	 2.6770e+02	 1.4058e+00	 4.9293e-02	 3.6315e+02	 2.8389e+02
 3.3750e+02	 2.6770e+02	 1.4001e+00	 3.9154e-02	 3.6315e+02	 2.8638e+02
 5.0625e+02	 2.6770e+02	 1.3955e+00	 3.5511e-02	 3.6315e+02	 2.8883e+02
 7.5938e+02	 2.6770e+02	 1.3908e+00	 2.5096e-02	 3.6315e+02	 2.9138e+02
 1.1391e+03	 2.6770e+02	 1.3872e+00	 2.3324e-02	 3.6315e+02	 2.9381e+02
 1.7086e+03	 2.6770e+02	 1.3835e+00	 1.8968e-02	 3.6315e+02	 2.9625e+02
 2.5629e+03	 2.6770e+02	 1.3808e+00	 1.7035e-02	 3.6315e+02	 2.9894e+02
 3.8443e+03	 2.6770e+02	 1.3782e+00	 1.6490e-02	 3.6315e+02	 3.0144e+02
 5.7665e+03	 2.6770e+02	 1.3756e+00	 1.6480e-02	 3.6315e+02	 3.0389e+02
 8.6498e+03	 2.6770e+02	 1.3727e+00	 1.7413e-02	 3.6315e+02	 3.0656e+02
 1.2975e+04	 2.6770e+02	 1.3695e+00	 1.9567e-02	 3.6315e+02	 3.0906e+02
 1.9462e+04	 2.6770e+02	 1.3656e+00	 2.2748e-02	 3.6314e+02	 3.1163e+02
 2.9193e+04	 2.6770e+02	 1.3611e+00	 2.7122e-02	 3.6315e+02	 3.1419e+02
 4.3789e+04	 2.6770e+02	 1.3554e+00	 3.2974e-02	 3.6315e+02	 3.1666e+02
 6.5684e+04	 2.6770e+02	 1.3477e+00	 4.0506e-02	 3.6315e+02	 3.1938e+02
 9.8526e+04	 2.6770e+02	 1.3368e+00	 4.9824e-02	 3.6315e+02	 3.2181e+02
 1.4779e+05	 2.6770e+02	 1.3214e+00	 5.9613e-02	 3.6316e+02	 3.2456e+02
 2.2168e+05	 2.6770e+02	 1.3004e+00	 6.7119e-02	 3.6315e+02	 3.2700e+02
 3.3253e+05	 2.6770e+02	 1.2764e+00	 6.9073e-02	 3.6316e+02	 3.2988e+02
 4.9879e+05	 2.6770e+02	 1.2527e+00	 6.4162e-02	 3.6315e+02	 3.3238e+02
 7.4818e+05	 2.6770e+02	 1.2341e+00	 5.4515e-02	 3.6315e+02	 3.3513e+02
 9.0000e+05	 2.6770e+02	 1.2280e+00	 4.9632e-02	 3.6314e+02	 3.3769e+02
 1.0000e+02	 3.3500e+02	 1.4192e+00	 4.8516e-02	 3.6315e+02	 3.4589e+02
 1.5000e+02	 3.3500e+02	 1.4118e+00	 3.5152e-02	 3.6315e+02	 3.4827e+02
 2.2500e+02	 3.3500e+02	 1.4053e+00	 3.3053e-02	 3.6314e+02	 3.5113e+02
 3.3750e+02	 3.3500e+02	 1.3998e+00	 2.6144e-02	 3.6315e+02	 3.5363e+02
 5.0625e+02	 3.3500e+02	 1.3949e+00	 2.1969e-02	 3.6315e+02	 3.5635e+02
 7.5938e+02	 3.3500e+02	 1.3915e+00	 1.9020e-02	 3.6315e+02	 3.5894e+02
 1.1391e+03	 3.3500e+02	 1.3878e+00	 1.6935e-02	 3.6315e+02	 3.6167e+02
 1.7086e+03	 3.3500e+02	 1.3843e+00	 1.5615e-02	 3.6315e+02	 3.6413e+02
 2.5629e+03	 3.3500e+02	 1.3817e+00	 1.4589e-02	 3.6315e+02	 3.6670e+02
 3.8443e+03	 3.3500e+02	 1.3793e+00	 1.4934e-02	 3.6315e+02	 3.6931e+02
 5.7665e+03	 3.3500e+02	 1.3767e+00	 1.5271e-02	 3.6315e+02	 3.7175e+02
 8.6498e+03	 3.3500e+02	 1.3737e+00	 1.6744e-02	 3.6315e+02	 3.7445e+02
 1.2975e+04	 3.3500e+02	 1.3706e+00	 1.9082e-02	 3.6315e+02	 3.7700e+02
 1.9462e+04	 3.3500e+02	 1.3665e+00	 2.2390e-02	 3.6314e+02	 3.7944e+02
 2.9193e+04	 3.3500e+02	 1.3622e+00	 2.6949e-02	 3.6315e+02	 3.8200e+02
 4.3789e+04	 3.3500e+02	 1.3563e+00	 3.2903e-02	 3.6314e+02	 3.8450e+02
 6.5684e+04	 3.3500e+02	 1.3486e+00	 4.0533e-02	 3.6314e+02	 3.8713e+02
 9.8526e+04	 3.3500e+02	 1.3378e+00	 4.9897e-02	 3.6314e+02	 3.8956e+02
 1.4779e+05	 3.3500e+02	 1.3223e+00	 5.9741e-02	 3.6314e+02	 3.9200e+02
 2.2168e+05	 3.3500e+02	 1.3014e+00	 6.7345e-02	 3.6315e+02	 3.9463e+02
 3.3253e+05	 3.3500e+02	 1.2774e+00	 6.9268e-02	 3.6314e+02	 3.9719e+02
 4.9879e+05	 3.3500e+02	 1.2536e+00	 6.4392e-02	 3.6315e+02	 3.9986e+02
 7.4818e+05	 3.3500e+02	 1.2351e+00	 5.4759e-02	 3.6315e+02	 4.0231e+02
 9.0000e+05	 3.3500e+02	 1.2289e+00	 4.9789e-02	 3.6315e+02	 4.0517e+02
 1.0000e+02	 4.0250e+02	 1.4228e+00	 8.3849e-02	 3.6314e+02	 4.1291e+02
 1.5000e+02	 4.0250e+02	 1.4152e+00	 6.1300e-02	 3.6315e+02	 4.1527e+02
 2.2500e+02	 4.0250e+02	 1.4062e+00	 4.2564e-02	 3.6315e+02	 4.1791e+02
 3.3750e+02	 4.0250e+02	 1.4015e+00	 3.2487e-02	 3.6315e+02	 4.2038e+02
