Time_Relative_s,der_m,der_m_smooth
259.16,0.12409725983410098,0.1074924348138556
261.6,0.12636322688948365,0.10778678524744391
264.14,0.12839423688404988,0.11063675839059076
266.72,0.13056607064879117,0.11102310550040174
269.46000000000004,0.13285662068480358,0.11283658617202602
272.03,0.13531799371302583,0.11313350672216345
274.47,0.13787495725714402,0.11332615144542527
277.14,0.14032944339545436,0.11610110083058543
283.53,0.14604950837798805,0.11610482859414917
291.28,0.15098478674712723,0.11840394828709144
299.35,0.15791933034139022,0.11858300685744393
301.80000000000007,0.15907684405761838,0.12140857212889046
304.66,0.15657438029161413,0.1216021999173211
307.22,0.15442824743496128,0.12323258344590803
309.9200000000001,0.15190475831932165,0.12405388035799471
312.6,0.1499340814091822,0.12409725983410098
317.72,0.1454754518081571,0.12636322688948365
320.47,0.14315015270436265,0.12641296224998377
323.03,0.14093172395990147,0.12839423688404988
325.69000000000005,0.1386097015707364,0.12903668022931206
328.16,0.13632410951051982,0.13056607064879117
330.72,0.13394102505284006,0.13162110028969798
333.35,0.13162110028969798,0.13285662068480358
335.91,0.12903668022931206,0.13394102505284006
338.64,0.12641296224998377,0.13531799371302583
341.1,0.12405388035799471,0.13632410951051982
343.53,0.1216021999173211,0.13787495725714402
346.22,0.11858300685744393,0.1386097015707364
348.72,0.11610110083058543,0.14032944339545436
351.46000000000004,0.11313350672216345,0.14093172395990147
353.91,0.11102310550040174,0.14122271632214303
356.58000000000004,0.10778678524744391,0.14315015270436265
362.9200000000001,0.10110666028858303,0.1454754518081571
370.91,0.09272365483601233,0.14604950837798805
378.78,0.08368199849808441,0.14798292986334438
381.36,0.07963129151138526,0.149213731450375
383.80000000000007,0.09075315676549613,0.1499340814091822
386.4200000000001,0.102039256096462,0.1505381124730804
389.03,0.11283658617202602,0.15098478674712723
391.6,0.12323258344590803,0.15142872309625946
396.72,0.14122271632214303,0.15190475831932165
399.47,0.15237493339082084,0.15237493339082084
402.03,0.1607207333793965,0.15301291748894158
404.61,0.16850453613073332,0.15442824743496128
407.16,0.17531793710362228,0.15657438029161413
409.72,0.18231516812690673,0.15681774422087738
412.35,0.18511695416346205,0.15773541177911107
414.91,0.18627320052977756,0.15791933034139022
417.72,0.1875456868599701,0.15907684405761838
420.16,0.18860257018891752,0.1595922762347678
422.96,0.18990679865500484,0.1607207333793965
425.53,0.19111078217723765,0.16111496760319105
428.19000000000005,0.1923309849900384,0.16271870606526448
430.78,0.1935854777037767,0.16379184302411579
433.46,0.19480057987095062,0.16551596749777073
436.14,0.1960738860988022,0.166678596164722
442.41,0.1993479708812733,0.1679374056849353
450.1,0.2025578267264228,0.16793795657576346
458.35,0.20694561023043168,0.16850453613073332
460.80000000000007,0.2080813250649729,0.16920073396068344
463.49,0.20652643901634224,0.17063762146285663
466.03,0.20497856236430015,0.171988248721415
468.72,0.20344222360233175,0.1731138541011926
471.28,0.20219135448363978,0.17449889139957514
476.41,0.19940926648215443,0.17515407184993625
478.85,0.19810882870294858,0.17519728970491186
481.6,0.19683200922099925,0.17531793710362228
484.16,0.19554898933080864,0.17574578811370578
486.91,0.19415299384821402,0.17586228675493984
489.47,0.19290097772772485,0.17598015979652482
492.16,0.19181259465688116,0.1762986185829048
494.72,0.190487630624373,0.1762986185829048
497.38,0.1891893821958421,0.1762986185829048
499.85,0.18811072534080756,0.1762986185829048
502.35,0.18699391818681074,0.1762986185829048
504.97,0.18577198743720486,0.1762986185829048
507.47,0.18474772450323942,0.1762986185829048
510.21,0.1836287358426122,0.1762986185829048
512.66,0.18261415301405232,0.1762986185829048
515.44,0.18145828702569286,0.1762986185829048
521.96,0.17886359163159804,0.1762986185829048
529.6,0.179310161537107,0.1762986185829048
537.49,0.16793795657576346,0.1762986185829048
540.11,0.15142872309625946,0.17631980064789785
542.6,0.14798292986334438,0.1763440837182612
545.25,0.149213731450375,0.17636532716203937
547.72,0.1505381124730804,0.17636758064727043
550.28,0.15301291748894158,0.17638017709013742
555.53,0.15681774422087738,0.1764047467528055
558.16,0.15773541177911107,0.17640937073753224
560.72,0.1595922762347678,0.1764332922243859
563.46,0.16111496760319105,0.1764348401153642
565.97,0.16271870606526448,0.1764554626020808
568.75,0.16379184302411579,0.1764743840519283
571.2,0.16551596749777073,0.17648266205233942
573.8000000000001,0.166678596164722,0.17650310870072777
576.3000000000001,0.1679374056849353,0.17650310870072777
578.8000000000001,0.16920073396068344,0.17650310870072777
581.5,0.17063762146285663,0.17650310870072777
584.1,0.171988248721415,0.17650310870072777
586.8000000000001,0.1731138541011926,0.17650310870072777
589.3000000000001,0.17449889139957514,0.17650310870072777
591.8000000000001,0.17515407184993625,0.17650310870072777
594.6,0.17519728970491186,0.17650310870072777
601.1,0.17574578811370578,0.17650310870072777
609.3000000000001,0.17586228675493984,0.17650310870072777
617.1999999999999,0.17598015979652482,0.17650310870072777
619.9,0.17650310870072777,0.17650310870072777
622.3000000000001,0.17651057133596468,0.17650310870072777
625.1,0.1764743840519283,0.17650310870072777
627.6999999999999,0.17648266205233942,0.17650310870072777
630.5000000000001,0.1764554626020808,0.17650310870072777
635.4,0.1764348401153642,0.17648266205233942
638.0000000000001,0.1764047467528055,0.1764743840519283
640.6,0.17640937073753224,0.1764554626020808
643.1,0.17636532716203937,0.1764348401153642
645.6,0.17638017709013742,0.1764332922243859
648.5000000000001,0.1763440837182612,0.17640937073753224
650.9,0.17636758064727043,0.1764047467528055
653.6999999999999,0.17631980064789785,0.17638017709013742
656.3000000000001,0.1762986185829048,0.17636758064727043
659.1,0.17628771849971328,0.17636532716203937
661.6999999999999,0.17627898585224133,0.1763440837182612
664.5000000000001,0.17626517984872897,0.17631980064789785
666.9,0.17624068085705744,0.1762986185829048
669.6999999999999,0.17625957191827019,0.17628771849971328
672.1999999999999,0.1762589769934025,0.17627898585224133
674.8000000000001,0.1762359713685,0.17626517984872897
681.1,0.1762282644698423,0.17625957191827019
688.9,0.1759454821598336,0.1762589769934025
696.6999999999999,0.1758438083730948,0.17624068085705744
699.1999999999999,0.17582090621127697,0.1762359713685
701.8000000000001,0.17611768348826162,0.1762282644698423
704.6999999999999,0.1764332922243859,0.1762282644698423
707.1999999999999,0.17669831375028391,0.1762282644698423
710.0000000000001,0.17699346017888287,0.1762282644698423
714.9,0.17749593332554184,0.1762282644698423
717.6999999999999,0.17780068849954758,0.1762282644698423
720.3000000000001,0.17806516186958693,0.1762282644698423
722.9,0.17833477040854967,0.1762282644698423
725.4,0.1785981412493518,0.1762282644698423
728.1999999999999,0.1789275200055928,0.1762282644698423
730.6999999999999,0.17916662560931756,0.1762282644698423
733.5000000000001,0.17946857216731787,0.1762282644698423
736.1,0.17973441801529225,0.1762282644698423
738.6,0.18000038973624038,0.1762282644698423
741.3000000000001,0.1802801810974371,0.1762282644698423
743.9,0.18054645369500727,0.1762282644698423
746.6,0.18091349760733472,0.1762282644698423
749.5000000000001,0.1811843178186362,0.1762282644698423
752.0000000000001,0.18149275510358082,0.1762282644698423
754.9,0.1817673109362292,0.1762282644698423
761.3000000000001,0.18248388894522583,0.1762282644698423
769.0000000000001,0.183343811947484,0.1762282644698423
777.3000000000001,0.18370336023451048,0.1762282644698423
779.8000000000001,0.18390357365808951,0.1762282644698423
782.4,0.18282801504947377,0.1762282644698423
785.0000000000001,0.1817666194043625,0.1762282644698423
787.9,0.18067095389452467,0.17611768348826162
790.4,0.17972122399234983,0.1759454821598336
795.6999999999999,0.17767523947151895,0.1758438083730948
798.1,0.1767990287196214,0.17582090621127697
800.9,0.17575696971571006,0.17575696971571006
803.4,0.1748394253958442,0.1748394253958442
806.0000000000001,0.1738845306724553,0.1738845306724553
808.6,0.17291729469410064,0.17291729469410064
811.1999999999999,0.17197375108672686,0.17209596006232755
813.6999999999999,0.17107532159611874,0.17197375108672686
816.4,0.170089390674784,0.17158166200949027
818.9,0.16917364065741808,0.17130716355187345
821.6,0.1682169973014369,0.17107532159611874
824.1999999999999,0.167334405355712,0.1705001425018737
827.0000000000001,0.16632577323597514,0.170089390674784
829.5000000000001,0.1654483812243195,0.1699876537782536
832.1999999999999,0.16448881183106107,0.16967916420198353
834.9,0.16360093782677676,0.16917364065741808
841.3000000000001,0.16063739547385214,0.16905773239426844
849.4,0.1479663132661869,0.16901740548163846
857.1,0.1337145519049845,0.1682169973014369
860.0000000000001,0.12820008068401043,0.16750999924049279
862.4,0.13248508956143049,0.16750274041123753
865.1999999999999,0.137966686033112,0.167334405355712
867.6999999999999,0.14299681615842513,0.1669474794842934
870.1999999999999,0.1471777926245124,0.16685949287309756
875.3000000000001,0.15586411987065893,0.16639711161383006
877.8000000000001,0.15902784390292676,0.16632577323597514
880.4,0.16029861501808418,0.16606094802882948
882.9,0.16082822480174874,0.1658310595761668
885.5000000000001,0.16135531803323433,0.1654483812243195
888.1,0.16189845194961264,0.1653604208172794
890.5000000000001,0.16244272135560878,0.16528471598314254
893.1999999999999,0.1629926839191993,0.16469637124249098
895.6999999999999,0.16354760145031375,0.16467235452945064
898.4,0.16417346453969256,0.16448881183106107
900.9,0.16469637124249098,0.16417346453969256
903.6,0.16528471598314254,0.16396729921045128
906.1,0.1658310595761668,0.16360093782677676
908.7,0.16639711161383006,0.16354760145031375
911.2,0.1669474794842934,0.16333045400351615
913.9,0.16750999924049279,0.1629926839191993
920.3,0.16901740548163846,0.1625465390277513
928.4,0.1699876537782536,0.16244272135560878
936.7,0.17158166200949027,0.16189845194961264
939.2,0.17209596006232755,0.16182101552193756
941.9,0.17130716355187345,0.16135531803323433
944.5,0.1705001425018737,0.16105246484423047
947.1,0.16967916420198353,0.16082822480174874
